group_column,group_value,n,event_rate,auroc,average_precision,brier,ece_10bin
sex,F,770,0.11168831168831168,0.7714368285053719,0.37668465173654864,0.08550724061824451,0.0237598813706732
sex,M,644,0.13819875776397517,0.7779329891689443,0.45507936352260114,0.09591886797376821,0.02476042793221554
site_id,SITE_A,412,0.1262135922330097,0.7828525641025641,0.43957986848618086,0.09158613063315878,0.027323513592848132
site_id,SITE_B,415,0.12771084337349398,0.7922964661732513,0.4675279260268803,0.08990000142070492,0.0333517097459692
site_id,SITE_C,308,0.12987012987012986,0.7351679104477612,0.3309231294268924,0.10378738080286028,0.048100924783996045
site_id,SITE_D,279,0.10752688172043011,0.7801874163319947,0.47673436137953273,0.07384884069326189,0.028858053411832563
procedure_group,general,400,0.0975,0.7349243554229703,0.30640801633527615,0.08051155348927325,0.029664105519198684
procedure_group,gynecologic,266,0.09398496240601503,0.6695435684647303,0.24466922071714212,0.08046983598639275,0.029777607648956397
procedure_group,orthopedic,373,0.1742627345844504,0.8107392607392607,0.522694204646741,0.11127044702931886,0.029393381219275927
procedure_group,urologic,186,0.08064516129032258,0.789083820662768,0.4918731997298616,0.05896147253981644,0.038547703327804
procedure_group,vascular,189,0.164021164021164,0.7768476929358922,0.49757762020991253,0.1139260203636161,0.046790239898749725
oud_history,0,1359,0.1111111111111111,0.7589305293627472,0.3641560984355501,0.08511022199021405,0.01697223630839272
oud_history,1,55,0.43636363636363634,0.6935483870967741,0.7092608949889649,0.21722790120825625,0.1725022775945636
