model,split,auroc,average_precision,brier,ece_10bin
clinical_rule_baseline,validation,0.7590081805529563,0.31438397393395967,0.09050255647780626,0.01801670739542071
clinical_rule_baseline,test,0.7309512279488066,0.29979838729248814,0.09678983772597456,0.01911873566131719
logistic_regression,validation,0.7809190699595383,0.4172004007571275,0.08540229002870674,0.015449214786566709
logistic_regression,test,0.7743894846074022,0.4149588081982452,0.09024916990887906,0.020845714910439444
hist_gradient_boosting,validation,0.7597105078051897,0.36623137112967485,0.08932099797855042,0.027554162269435297
hist_gradient_boosting,test,0.7467035627810445,0.35806951493122563,0.09625910907537191,0.02942884913259774
